X.1,% Approve
Nov 6 2024,19
Oct 1 2024,16
Sep 1 2024,20
Aug 1 2024,19
Jul 1 2024,16
Jun 1 2024,16
May 1 2024,13
Apr 1 2024,16
Mar 1 2024,15
Feb 1 2024,12
Jan 1 2024,15
Dec 1 2023,15
Nov 1 2023,15
Oct 2 2023,13
Sep 1 2023,17
Aug 1 2023,19
Jul 3 2023,19
Jun 1 2023,20
May 1 2023,20
Apr 1 2023,16
Mar 1 2023,20
Feb 1 2023,18
Jan 1 2023,21
Nov 1 2022,22
Oct 1 2022,21
Sep 1 2022,23
Aug 1 2022,22
Jul 1 2022,17
Jun 1 2022,16
May 1 2022,18
Apr 1 2022,20
Mar 1 2022,21
Feb 1 2022,20
Jan 1 2022,18
Dec 1 2021,23
Nov 1 2021,20
Oct 1 2021,21
Sep 1 2021,27
Aug 2 2021,28
Jul 1 2021,26
Jun 1 2021,26
May 3 2021,31
Apr 1 2021,33
Mar 1 2021,36
Feb 3 2021,35
Jan 4 2021,25
Dec 1 2020,15
Nov 5 2020,23
Oct 1 2020,19
Sep 1 2020,17
Aug 1 2020,21
Jul 1 2020,18
May 28 2020,25
May 1 2020,31
Apr 1 2020,30
Mar 2 2020,22
Feb 3 2020,23
Jan 2 2020,23
Dec 2 2019,27
Nov 1 2019,24
Oct 1 2019,25
Sep 3 2019,18
Aug 1 2019,17
Jul 1 2019,17
Jun 3 2019,19
May 1 2019,20
Apr 1 2019,20
Mar 1 2019,26
Feb 1 2019,21
Jan 2 2019,20
Dec 3 2018,18
Nov 1 2018,21
Oct 15 2018,21
Oct 1 2018,21
Sep 4 2018,19
Aug 1 2018,17
Jul 1 2018,17
Jun 1 2018,19
May 1 2018,17
Apr 2 2018,18
Mar 1 2018,15
Feb 1 2018,15
Jan 2 2018,20
Dec 4 2017,17
Nov 2 2017,13
Oct 5 2017,13
Sep 6 2017,16
Aug 2 2017,16
Jul 5 2017,20
Jun 7 2017,21
May 3 2017,20
Apr 1 2017,20
Mar 1 2017,24
Feb 1 2017,28
Jan 4 2017,19
Dec 7 2016,18
Nov 9 2016,19
Oct 5 2016,18
Sep 7 2016,20
Aug 3 2016,18
Jul 13 2016,13
Jun 1 2016,16
May 4 2016,18
Apr 6 2016,17
Mar 2 2016,13
Feb 3 2016,14
Jan 6 2016,16
Dec 2 2015,13
Nov 4 2015,11
Oct 7 2015,13
Sep 9 2015,14
Aug 5 2015,14
Jul 8 2015,17
Jun 2 2015,17
May 6 2015,19
Apr 9 2015,15
Mar 5 2015,18
Feb 8 2015,20
Jan 5 2015,16
Dec 8 2014,16
Nov 6 2014,15
Oct 29 2014,20
Oct 12 2014,14
Sep 4 2014,14
Aug 7 2014,13
Jul 7 2014,15
Jun 5 2014,16
May 8 2014,15
Apr 3 2014,13
Mar 6 2014,15
Feb 6 2014,12
Jan 5 2014,13
Dec 5 2013,12
Nov 7 2013,9
Oct 3 2013,11
Sep 5 2013,19
Aug 7 2013,14
Jul 10 2013,15
Jun 1 2013,17
May 2 2013,16
Apr 4 2013,15
Mar 7 2013,13
Feb 7 2013,15
Jan 7 2013,14
Dec 14 2012,18
Nov 15 2012,18
Oct 15 2012,21
Sep 6 2012,13
Aug 9 2012,10
Jul 9 2012,16
Jun 7 2012,17
May 3 2012,15
Apr 9 2012,17
Mar 8 2012,12
Feb 2 2012,10
Jan 5 2012,13
Dec 15 2011,11
Nov 3 2011,13
Oct 6 2011,13
Sep 8 2011,15
Aug 11 2011,13
Jul 7 2011,18
Jun 9 2011,17
May 5 2011,24
Apr 7 2011,17
Mar 3 2011,18
Feb 2 2011,23
Jan 7 2011,20
Dec 10 2010,13
Nov 4 2010,17
Oct 28 2010,21
Oct 7 2010,21
Sep 13 2010,18
Aug 5 2010,19
Jul 8 2010,20
Jun 11 2010,20
May 3 2010,21
Apr 8 2010,23
Mar 4 2010,16
Feb 1 2010,18
Jan 8 2010,24
Dec 11 2009,25
Nov 5 2009,26
Oct 1 2009,21
Aug 31 2009,31
Aug 6 2009,31
Jul 10 2009,32
Jun 14 2009,33
May 7 2009,37
Apr 6 2009,36
Mar 5 2009,39
Feb 9 2009,31
Jan 9 2009,19
Dec 4 2008,20
Nov 13 2008,19
Oct 3 2008,18
Sep 8 2008,18
Aug 7 2008,18
Jul 10 2008,14
Jun 9 2008,19
May 8 2008,18
Apr 6 2008,20
Mar 6 2008,21
Feb 11 2008,24
Jan 4 2008,23
Dec 6 2007,22
Nov 11 2007,20
Oct 12 2007,29
Oct 4 2007,23
Sep 14 2007,24
Aug 13 2007,18
Jul 12 2007,27
Jun 11 2007,24
May 10 2007,29
Apr 2 2007,33
Mar 11 2007,28
Feb 1 2007,37
Jan 15 2007,35
Dec 11 2006,21
Nov 9 2006,26
Nov 2 2006,26
Oct 20 2006,26
Oct 9 2006,23
Oct 6 2006,24
Sep 7 2006,29
Aug 7 2006,27
Jul 6 2006,29
Jun 1 2006,27
May 8 2006,21
Apr 10 2006,23
Mar 13 2006,27
Feb 6 2006,25
Jan 9 2006,27
Dec 5 2005,29
Nov 7 2005,29
Oct 13 2005,29
Sep 12 2005,35
Aug 8 2005,36
Jul 7 2005,36
Jun 6 2005,34
May 2 2005,35
Apr 4 2005,38
Mar 7 2005,37
Feb 7 2005,45
Jan 3 2005,43
Dec 5 2004,41
Nov 7 2004,41
Oct 11 2004,40
Sep 13 2004,41
Aug 9 2004,40
Jul 8 2004,40
Jun 3 2004,41
May 2 2004,41
Apr 5 2004,43
Mar 8 2004,42
Feb 9 2004,41
Jan 12 2004,48
Dec 11 2003,43
Nov 3 2003,43
Oct 6 2003,41
Sep 8 2003,40
Aug 4 2003,45
Jul 7 2003,49
Jun 12 2003,50
May 5 2003,49
Apr 7 2003,58
Mar 3 2003,48
Feb 3 2003,50
Jan 13 2003,49
Dec 5 2002,50
Nov 11 2002,47
Oct 3 2002,50
Sep 5 2002,52
Aug 5 2002,46
Jul 26 2002,53
Jul 9 2002,54
Jun 3 2002,52
May 6 2002,57
Apr 8 2002,57
Mar 4 2002,63
Feb 4 2002,62
Jan 7 2002,62
Dec 6 2001,72
Nov 8 2001,73
Oct 11 2001,84
Sep 7 2001,42
Aug 16 2001,50
Aug 3 2001,47
Jul 19 2001,49
Jun 11 2001,51
May 10 2001,49
Apr 6 2001,55
Mar 5 2001,55
Feb 1 2001,53
Jan 10 2001,50
Dec 2 2000,56
Oct 6 2000,49
Aug 29 2000,48
May 18 2000,39
Jan 7 2000,51
Sep 23 1999,37
Jul 13 1999,39
Jun 11 1999,41
Apr 13 1999,45
Feb 12 1999,41
Jan 15 1999,50
Dec 15 1998,42
Nov 13 1998,41
Oct 29 1998,44
Oct 9 1998,47
Oct 6 1998,44
Sep 11 1998,55
May 8 1998,44
Apr 17 1998,49
Feb 13 1998,57
Jan 30 1998,56
Jan 16 1998,42
Dec 18 1997,39
Oct 27 1997,36
Aug 22 1997,41
Jul 25 1997,34
May 6 1997,32
Apr 18 1997,30
Feb 24 1997,37
Jan 31 1997,36
Jan 10 1997,41
Oct 26 1996,34
Aug 5 1996,39
May 9 1996,30
Apr 9 1996,35
Sep 22 1995,30
Aug 28 1995,30
Jul 7 1995,35
May 11 1995,34
Apr 17 1995,37
Mar 27 1995,31
Mar 17 1995,32
Feb 24 1995,35
Feb 3 1995,38
Jan 16 1995,33
Dec 28 1994,23
Oct 22 1994,23
Oct 7 1994,21
Jul 15 1994,27
Mar 25 1994,29
Feb 26 1994,28
Nov 2 1993,24
Aug 8 1993,23
Jul 19 1993,24
Feb 26 1993,27
Mar 3 1992,18
Oct 10 1991,40
Jul 25 1991,32
Nov 2 1990,26
Oct 25 1990,24
Oct 18 1990,23
Oct 11 1990,28
Sep 9 1988,42
Aug 24 1987,42
Apr 11 1986,42
Apr 29 1983,33
Jun 11 1982,29
Jun 19 1981,38
Jun 13 1980,25
Jun 1 1979,19
Sep 8 1978,29
Sep 9 1977,35
Aug 5 1977,36
Jun 3 1977,34
May 20 1977,40
Mar 25 1977,36
Jan 23 1976,24
Oct 31 1975,28
Jun 27 1975,29
Apr 18 1975,38
Feb 28 1975,32
Oct 11 1974,35
Aug 16 1974,47
Apr 12 1974,30